Found 1962 strings where colon position > 32

AMS_INFO             | jp    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | jp    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | jp    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | jp    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | kk    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | kr    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | lt    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | lv    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | nl    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
